product_id,place_id,product,product_description,product_type,price
0,0,Whisky,"While brandy is generally made from grapes, that is, any distilled liquor made from fermented fruit juice is called brandy. Whiskey is made from grain, typically malted barley, corn, or other cereal grains, which is essentially brewed and fermented into beer.",drink,5800
1,0,Pineapple Drink,"Made with the normally discarded bits of pineapple – the skin and core, this has a distinct, clear pineapple flavour. Spice with cloves, ginger and other aromatics.",drink,2100
2,0,Daiquiri,"If you like your liquor sweetish, then the daiquiri is the way to go. This rum-based cocktail combines a mix of rum, citrus juice (typically lime) and sugar or any other sweetner. It also has other variations like the widely popular strawberry daiquiri.",drink,4300
3,0,Beer,"Beer is brewed from cereal grains most commonly from malted barley, however, wheat, corn, and rice are also used.",drink,700
4,0,Long Island Iced Tea,"Long island iced tea is made with tequila, vodka, light rum, triple sec, gin and a splash of cola.",drink,3700
5,0,Gin and tonic,This is a a highball cocktail made with gin and tonic water poured over ice and garnished with a slice of lime,drink,5800
6,0,Cosmopolitan,"his cocktail is made up of vodka, triple sec, cranberry juice, and freshly squeezed or sweetened lime juice.",drink,5700
7,0,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,500
8,0,fura da nono,It is made from fermented milk and ground millet grains and is thick but not as thick as yoghurt.,drink,900
9,0,Chapman,"Typically made with alcoholic bitters, skip them, use non-alcoholic bitters or add a bit of grapefruit juice.",drink,1000
10,1,Gin and tonic,This is a a highball cocktail made with gin and tonic water poured over ice and garnished with a slice of lime,drink,8800
11,1,Kunnu Aya,"A milky drink made from Tiger nuts. You could also use rice as the base. Combine with spices, other syrups – zobo, tamarind etc",drink,900
12,1,Chapman,"Typically made with alcoholic bitters, skip them, use non-alcoholic bitters or add a bit of grapefruit juice.",drink,1000
13,1,Martini,"Unarguably one of the most popular cocktails, the martini has various various such as the apple martini, dry martini and more. The standard martini is however made with gin and vermouth, and garnished with an olive or a lemon twist.",drink,23000
14,1,Adoyo,The main source of adoyo is pineapple and pap(made from corn). Adoyo which is pap paired with pineapple improves the sour taste that naturally comes with pap,drink,500
15,1, Smoothie,"A liquid foundation, such as fruit juice, or dairy products, such as milk, yoghurt, ice cream, or cottage cheese, is commonly used in smoothies.",drink,1800
16,1,Margarita,"A citrusy cocktail, the margarita combines a mix of tequila, triple sec and lime or lemon juice, often served with salt on the rim of the glass.",drink,29000
17,1,Cosmopolitan,"his cocktail is made up of vodka, triple sec, cranberry juice, and freshly squeezed or sweetened lime juice.",drink,5800
18,1,Long Island Iced Tea,"Long island iced tea is made with tequila, vodka, light rum, triple sec, gin and a splash of cola.",drink,4600
19,1,Cappuccino,"Cappuccino consist of a layer of Espresso, milk and foamy cream. ",drink,4400
20,1,Soya Milk,"Soya Milk is a refreshing nutritious drink made from plant protein. It made from soya beans, and is also very delicious. Soy milk is rich in sodium, potassium, calcium and iron.",drink,700
21,1,Mojito,"Traditionally a Cuba drink, the mojito is a hugely popular cocktail and combines a mix of white rum, sugar (traditionally sugar cane juice), lime juice, sparkling water, and mint leaves",drink,1600
22,1,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,800
23,1,Pineapple Drink,"Made with the normally discarded bits of pineapple – the skin and core, this has a distinct, clear pineapple flavour. Spice with cloves, ginger and other aromatics.",drink,2100
24,1,Whisky,"While brandy is generally made from grapes, that is, any distilled liquor made from fermented fruit juice is called brandy. Whiskey is made from grain, typically malted barley, corn, or other cereal grains, which is essentially brewed and fermented into beer.",drink,5000
25,2,Chapman,"Typically made with alcoholic bitters, skip them, use non-alcoholic bitters or add a bit of grapefruit juice.",drink,1300
26,2,Gin and tonic,This is a a highball cocktail made with gin and tonic water poured over ice and garnished with a slice of lime,drink,8100
27,2,Kunnu Aya,"A milky drink made from Tiger nuts. You could also use rice as the base. Combine with spices, other syrups – zobo, tamarind etc",drink,800
28,2,fura da nono,It is made from fermented milk and ground millet grains and is thick but not as thick as yoghurt.,drink,400
29,2,Pina Colada,"The pina colada is the national drink of Puerto Rico and is a sweet cocktail mixing rum, coconut cream or coconut milk, and pineapple juice, and is usually served either blended or shaken with ice",drink,13000
30,2,Vegetable Juices,"The best veggies for juicing are kale, beets, cucumber, carrots, spinach, tomatoes, etc. ",drink,2100
31,2,Daiquiri,"If you like your liquor sweetish, then the daiquiri is the way to go. This rum-based cocktail combines a mix of rum, citrus juice (typically lime) and sugar or any other sweetner. It also has other variations like the widely popular strawberry daiquiri.",drink,3100
32,2,Martini,"Unarguably one of the most popular cocktails, the martini has various various such as the apple martini, dry martini and more. The standard martini is however made with gin and vermouth, and garnished with an olive or a lemon twist.",drink,8000
33,2,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,700
